ror,id_oa,display_name,NomeEsteso,type,NomeOperativo,status,Tipologia,Statale,Indirizzo,COMUNE,PROVINCIA,REGIONE,ZonaGeografica,URL,ClasseDimensione,NomeRubrica,score
https://ror.org/0290wsh42,https://openalex.org/I2800920820,Istituto Universitario di Studi Superiori di Pavia,Istituto universitario di studi superiori di Pavia,education,Pavia IUSS,Attivo    ,Scuola Superiore ad Ordinamento Speciale,Statale   ,Palazzo del Broletto – P.zza della Vittoria,PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,www.iusspavia.it,,,100.0
https://ror.org/04387x656,https://openalex.org/I123338534,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,"Università degli studi del Piemonte orientale ""Amedeo Avogadro""",funder,Piemonte Orientale,Attivo    ,Università,Statale   ,"Via Duomo, 6",VERCELLI,VERCELLI,PIEMONTE,NORD-OVEST,www.uniupo.it,da 10.000 a 19.999,PIEMONTE ORIENTALE,100.0
https://ror.org/03h7r5v07,https://openalex.org/I103320735,Università Cattolica del Sacro Cuore,"Università Cattolica del ""Sacro Cuore""",funder,Milano Cattolica,Attivo    ,Università,Non Statale,"Largo Gemelli, 1",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.unicatt.it,da 30.000 a 59.999,,100.0
https://ror.org/020dggs04,https://openalex.org/I1339471597,Humanitas University,Humanitas University,funder,Rozzano (MI) Humanitas University,Attivo    ,Università,Non Statale,"Via A. Manzoni, 113",ROZZANO,MILANO,LOMBARDIA,NORD-OVEST,https://www.hunimed.eu/,inferiore a 10.000,,100.0
https://ror.org/004fze387,https://openalex.org/I138549579,Scuola Internazionale Superiore di Studi Avanzati,Scuola Internazionale Superiore di Studi Avanzati di Trieste,funder,Trieste SISSA,Attivo    ,Scuola Superiore ad Ordinamento Speciale,Statale   ,"Via Bonomea, 265",TRIESTE,TRIESTE,FRIULI VENEZIA GIULIA,NORD-EST,www.sissa.it,,SISSA - TRIESTE,92.0
https://ror.org/05290cv24,https://openalex.org/I71267560,University of Naples Federico II,Università degli studi di Napoli Federico II,funder,Napoli Federico II,Attivo    ,Università,Statale   ,"C.so Umberto I, 40",NAPOLI,NAPOLI,CAMPANIA,SUD,www.unina.it,60.000 e oltre,Napoli Federico II,91.8
https://ror.org/02p77k626,https://openalex.org/I116067653,University of Rome Tor Vergata,Università degli Studi di Roma Tor Vergata,funder,Roma Tor Vergata,Attivo    ,Università,Statale   ,"Via O. Raimondo,18 Loc. La Romanina",ROMA,ROMA,LAZIO,CENTRO,www.uniroma2.it,da 20.000 a 29.999,"ROMA ""Tor Vergata""",91.23
https://ror.org/03aydme10,https://openalex.org/I157210198,Scuola Normale Superiore,Scuola Normale Superiore di Pisa,funder,Pisa Normale,Attivo    ,Scuola Superiore ad Ordinamento Speciale,Statale   ,"P.zza dei Cavalieri, 7",PISA,PISA,TOSCANA,CENTRO,www.sns.it,,Scuola Normale Superiore di PISA,90.57
https://ror.org/01ynf4891,https://openalex.org/I66752286,University of Milano-Bicocca,Università degli Studi di Milano - Bicocca,funder,Milano Bicocca,Attivo    ,Università,Statale   ,"Piazza dell' Ateneo Nuovo, 1",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.unimib.it,da 30.000 a 59.999,MILANO-BICOCCA,90.57
https://ror.org/021k2cy37,https://openalex.org/I2802142324,Università degli Studi Suor Orsola Benincasa,Università degli studi Suor Orsola Benincasa di Napoli,education,Napoli Benincasa,Attivo    ,Università,Non Statale,"Via Suor Orsola, 10",NAPOLI,NAPOLI,CAMPANIA,SUD,www.unisob.na.it,inferiore a 10.000,,90.14
https://ror.org/035mh1293,https://openalex.org/I42775652,Link Campus University,Link Campus University di Roma,education,Roma - Link Campus,Attivo    ,Università,Non Statale,via del Casale di San Pio n. 44,ROMA,ROMA,LAZIO,CENTRO,www.unilink.it,inferiore a 10.000,,89.8
https://ror.org/03tc05689,https://openalex.org/I20272500,University of Basilicata,Università degli studi della Basilicata,funder,Basilicata,Attivo    ,Università,Statale   ,"Via Nazario Sauro, 85",POTENZA,POTENZA,BASILICATA,SUD,www.unibas.it,inferiore a 10.000,BASILICATA,88.89
https://ror.org/01j9p1r26,https://openalex.org/I26415053,University of L'Aquila,Università degli studi di L'Aquila,funder,L'Aquila,Attivo    ,Università,Statale   ,Via Giovanni Di Vincenzo 16/B,L'AQUILA,L'AQUILA,ABRUZZO,SUD,www.univaq.it,da 10.000 a 19.999,L'AQUILA,87.8
https://ror.org/0001fmy77,https://openalex.org/I55133342,University of Macerata,Università degli Studi di Macerata,funder,Macerata,Attivo    ,Università,Statale   ,"Piaggia dell'Universita', 11",MACERATA,MACERATA,MARCHE,CENTRO,www.unimc.it,inferiore a 10.000,MACERATA,87.8
https://ror.org/02d4c4y02,https://openalex.org/I122346577,University of Modena and Reggio Emilia,Università degli Studi di Modena e Reggio Emilia,funder,Modena e Reggio Emilia,Attivo    ,Università,Statale   ,"Via Universita', 4",MODENA,MODENA,EMILIA ROMAGNA,NORD-EST,www.unimore.it,da 20.000 a 29.999,MODENA e REGGIO EMILIA,87.32
https://ror.org/045x2ah69,https://openalex.org/I2802304065,University Carlo Cattaneo,"Università ""Carlo Cattaneo"" (LIUC)",funder,Castellanza LIUC,Attivo    ,Università,Non Statale,"Corso Matteotti, 22",CASTELLANZA,VARESE,LOMBARDIA,NORD-OVEST,www.liuc.it,inferiore a 10.000,,87.27
https://ror.org/01111rn36,https://openalex.org/I9360294,University of Bologna,Università degli Studi di Bologna,funder,Bologna,Attivo    ,Università,Statale   ,"Via Zamboni, 33",BOLOGNA,BOLOGNA,EMILIA ROMAGNA,NORD-EST,www.unibo.it,60.000 e oltre,BOLOGNA,87.18
https://ror.org/02mbd5571,https://openalex.org/I11039511,University of Bergamo,Università degli Studi di Bergamo,funder,Bergamo,Attivo    ,Università,Statale   ,"Via Salvecchio, 19",BERGAMO,BERGAMO,LOMBARDIA,NORD-OVEST,www.unibg.it,da 20.000 a 29.999,BERGAMO,87.18
https://ror.org/041zkgm14,https://openalex.org/I201324441,University of Ferrara,Università degli Studi di Ferrara,funder,Ferrara,Attivo    ,Università,Statale   ,Ex Convento di S.Lucia-v.Ariosto 35,FERRARA,FERRARA,EMILIA ROMAGNA,NORD-EST,www.unife.it,da 20.000 a 29.999,FERRARA,87.18
https://ror.org/02q2d2610,https://openalex.org/I79940851,University of Brescia,Università degli Studi di Brescia,funder,Brescia,Attivo    ,Università,Statale   ,"Piazza del Mercato, 15",BRESCIA,BRESCIA,LOMBARDIA,NORD-OVEST,www.unibs.it,da 10.000 a 19.999,BRESCIA,87.18
https://ror.org/0192m2k53,https://openalex.org/I131729948,University of Salerno,Università degli Studi di Salerno,funder,Salerno,Attivo    ,Università,Statale   ,"Via Giovanni Paolo II, 132",FISCIANO,SALERNO,CAMPANIA,SUD,www.unisa.it,da 30.000 a 59.999,SALERNO,87.18
https://ror.org/03fc1k060,https://openalex.org/I142910587,University of Salento,Università del Salento,funder,Salento,Attivo    ,Università,Statale   ,"piazza Tancredi,7",LECCE,LECCE,PUGLIA,SUD,www.unisalento.it,da 10.000 a 19.999,SALENTO,87.18
https://ror.org/04jr1s763,https://openalex.org/I45084792,University of Florence,Università degli Studi di Firenze,funder,Firenze,Attivo    ,Università,Statale   ,"P.zza S. Marco, 4",FIRENZE,FIRENZE,TOSCANA,CENTRO,www.unifi.it,da 30.000 a 59.999,FIRENZE,87.18
https://ror.org/00x27da85,https://openalex.org/I27483092,University of Perugia,Università degli Studi di Perugia,funder,Perugia,Attivo    ,Università,Statale   ,"P.zza dell' Universita', 1",PERUGIA,PERUGIA,UMBRIA,CENTRO,www.unipg.it,da 20.000 a 29.999,PERUGIA,87.18
https://ror.org/02n742c10,https://openalex.org/I142444530,University of Trieste,Università degli Studi di Trieste,funder,Trieste,Attivo    ,Università,Statale   ,"Piazzale Europa, 1",TRIESTE,TRIESTE,FRIULI VENEZIA GIULIA,NORD-EST,www.units.it,da 10.000 a 19.999,TRIESTE,87.18
https://ror.org/00240q980,https://openalex.org/I138689650,University of Padua,Università degli Studi di Padova,funder,Padova,Attivo    ,Università,Statale   ,"Via 8 Febbraio, 2",PADOVA,PADOVA,VENETO,NORD-EST,www.unipd.it,60.000 e oltre,PADOVA,86.49
https://ror.org/01xtv3204,https://openalex.org/I106296451,University of Foggia,Università degli Studi di Foggia,funder,Foggia,Attivo    ,Università,Statale   ,"Via Gramsci, 89/91",FOGGIA,FOGGIA,PUGLIA,SUD,www.unifg.it,da 10.000 a 19.999,FOGGIA,86.49
https://ror.org/04vc81p87,https://openalex.org/I16337185,University of Sannio,Università degli Studi del Sannio,education,Sannio,Attivo    ,Università,Statale   ,"Piazza Guerrazzi, 1",BENEVENTO,BENEVENTO,CAMPANIA,SUD,www.unisannio.it,inferiore a 10.000,SANNIO di BENEVENTO,86.49
https://ror.org/048tbm396,https://openalex.org/I55143463,University of Turin,Università degli studi di Torino,funder,Torino,Attivo    ,Università,Statale   ,"Via Verdi, 8",TORINO,TORINO,PIEMONTE,NORD-OVEST,www.unito.it,60.000 e oltre,TORINO,86.49
https://ror.org/00wjc7c48,https://openalex.org/I189158943,University of Milan,Università degli Studi di Milano,funder,Milano,Attivo    ,Università,Statale   ,"Via Festa del Perdono, 7",MILANO,MILANO,LOMBARDIA,NORD-OVEST,www.unimi.it,60.000 e oltre,MILANO,86.49
https://ror.org/039bp8j42,https://openalex.org/I119439378,University of Verona,Università degli Studi di Verona,funder,Verona,Attivo    ,Università,Statale   ,"Via dell'Artigliere, 8 Pal. Giuliari",VERONA,VERONA,VENETO,NORD-EST,www.univr.it,da 20.000 a 29.999,VERONA,86.49
https://ror.org/05trd4x28,https://openalex.org/I193223587,University of Trento,Università degli Studi di Trento,funder,Trento,Attivo    ,Università,Statale   ,"Via Calepina, 14",TRENTO,TRENTO,Provincia autonoma di TRENTO,NORD-EST,www.unitn.it,da 10.000 a 19.999,TRENTO,86.49
https://ror.org/0107c5v14,https://openalex.org/I83816512,University of Genoa,Università degli studi di Genova,funder,Genova,Attivo    ,Università,Statale   ,"Via Balbi, 5",GENOVA,GENOVA,LIGURIA,NORD-OVEST,www.unige.it,da 30.000 a 59.999,GENOVA,86.49
https://ror.org/02d8v0v24,https://openalex.org/I128649747,Libera Università Maria SS. Assunta,Libera Università Maria SS.Assunta - (LUMSA) di Roma,funder,Roma LUMSA,Attivo    ,Università,Non Statale,"Via della Traspontina, 21",ROMA,ROMA,LAZIO,CENTRO,www.lumsa.it,inferiore a 10.000,,86.08
https://ror.org/05ht0mh31,https://openalex.org/I129043915,University of Udine,Università degli Studi di Udine,funder,Udine,Attivo    ,Università,Statale   ,"Via Palladio, 8",UDINE,UDINE,FRIULI VENEZIA GIULIA,NORD-EST,www.uniud.it,da 10.000 a 19.999,UDINE,85.71
https://ror.org/02k7wn190,https://openalex.org/I124601658,University of Parma,Università degli Studi di Parma,funder,Parma,Attivo    ,Università,Statale   ,"Via Universita', 12",PARMA,PARMA,EMILIA ROMAGNA,NORD-EST,www.unipr.it,da 20.000 a 29.999,PARMA,85.71
https://ror.org/00s6t1f81,https://openalex.org/I25217355,University of Pavia,Università degli Studi di Pavia,funder,Pavia,Attivo    ,Università,Statale   ,"Corso Strada Nuova, 65",PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,www.unipv.it,da 20.000 a 29.999,PAVIA,85.71
https://ror.org/00s6t1f81,https://openalex.org/I25217355,University of Pavia,Università degli Studi di Pavia,funder,Pavia,Attivo    ,Università,Statale   ,"Corso Strada Nuova, 65",PAVIA,PAVIA,LOMBARDIA,NORD-OVEST,www.unipv.it,da 20.000 a 29.999,I.U.S.S. - PAVIA,85.71
https://ror.org/01tevnk56,https://openalex.org/I102064193,University of Siena,Università degli Studi di Siena,funder,Siena,Attivo    ,Università,Statale   ,"Via Banchi di Sotto, 55",SIENA,SIENA,TOSCANA,CENTRO,www.unisi.it,da 10.000 a 19.999,SIENA,85.71
https://ror.org/01tevnk56,https://openalex.org/I102064193,University of Siena,Università degli Studi di Siena,funder,Siena,Attivo    ,Università,Statale   ,"Via Banchi di Sotto, 55",SIENA,SIENA,TOSCANA,CENTRO,www.unisi.it,da 10.000 a 19.999,Gran Sasso Science Institute,85.71
https://ror.org/03ad39j10,https://openalex.org/I108290504,University of Pisa,Università degli Studi di Pisa,funder,Pisa,Attivo    ,Università,Statale   ,"Lungarno Pacinotti, 43/44",PISA,PISA,TOSCANA,CENTRO,www.unipi.it,da 30.000 a 59.999,PISA,84.85
https://ror.org/00qvkm315,https://openalex.org/I4210095444,Saint Camillus International University of Health and Medical Sciences,Saint Camillus International University of Health,education,Roma Saint Camillus,Attivo    ,Università,Non Statale,via dei Cartari n. 42,ROMA,ROMA,LAZIO,CENTRO,,inferiore a 10.000,,82.35
https://ror.org/00s409261,https://openalex.org/I115752224,University of Insubria,Università degli Studi dell' Insubria,funder,Insubria,Attivo    ,Università,Statale   ,"Via Ravasi, 2",VARESE,VARESE,LOMBARDIA,NORD-OVEST,www.uninsubria.it,da 10.000 a 19.999,INSUBRIA,80.43
https://ror.org/03svwq685,https://openalex.org/I138938424,Università degli Studi della Tuscia,Università degli Studi della Tuscia,funder,Tuscia,Attivo    ,Università,Statale   ,"Via S.Maria in Gradi, 4",VITERBO,VITERBO,LAZIO,CENTRO,www.unitus.it,inferiore a 10.000,TUSCIA,78.79
https://ror.org/04q4kt073,https://openalex.org/I190397597,University of Urbino,"Università degli studi ""Carlo Bo"" di Urbino",funder,Urbino Carlo Bo,Attivo    ,Università,Statale   ,"Via A. Saffi, 2",URBINO,PESARO E URBINO,MARCHE,CENTRO,www.uniurb.it,da 10.000 a 19.999,Urbino Carlo Bo,78.26
https://ror.org/04vd28p53,https://openalex.org/I246010334,Università degli Studi di Enna Kore,"Libera Università della Sicilia Centrale ""KORE"" di Enna",funder,Enna - KORE,Attivo    ,Università,Non Statale,"Via delle Olimpiadi, 4",ENNA,ENNA,SICILIA,ISOLE,www.unikore.it,inferiore a 10.000,,77.78
https://ror.org/044npx850,https://openalex.org/I31762744,University of Gastronomic Sciences,Università di Scienze Gastronomiche,funder,Bra - Scienze Gastronomiche,Attivo    ,Università,Non Statale,"P.zza Vittorio Emanuele, 9",BRA,CUNEO,PIEMONTE,NORD-OVEST,www.unisg.it,inferiore a 10.000,,77.27
