score,nome_operativo_miur,nome_esteso_miur,display_name_oa,id_openalex,match_type
100.00,Torino,Università degli studi di Torino,"Istituto Nazionale di Fisica Nucleare, Sezione di Torino",https://openalex.org/I4210099850,display_name
100.00,Torino Politecnico,Politecnico di Torino,Università degli Studi di Torino,https://openalex.org/I55143463,alternative
87.95,Torino ISEF,Istituto Superiore di Educazione Fisica di Torino,Torino e-district,https://openalex.org/I4210128445,display_name
100.00,Piemonte Orientale,"Università degli studi del Piemonte orientale ""Amedeo Avogadro""",Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,https://openalex.org/I123338534,display_name
76.60,Bra - Scienze Gastronomiche,Università di Scienze Gastronomiche,University of Gastronomic Sciences,https://openalex.org/I31762744,display_name
100.00,Aosta,Università della Valle d'Aosta,University of Aosta Valley,https://openalex.org/I4210133595,display_name
100.00,Genova,Università degli studi di Genova,"Istituto Nazionale di Fisica Nucleare, Sezione di Genova",https://openalex.org/I4210125647,display_name
86.67,Castellanza LIUC,"Università ""Carlo Cattaneo"" (LIUC)",Castellini (Italy),https://openalex.org/I4210106567,display_name
100.00,Insubria,Università degli Studi dell' Insubria,University of Insubria,https://openalex.org/I115752224,display_name
75.02,Novedrate e-Campus,"Università telematica ""e-Campus"" di Novedrate (CO)",Nuvera Fuel Cells,https://openalex.org/I4210096093,alternative
100.00,Milano,Università degli Studi di Milano,Politecnico di Milano,https://openalex.org/I93860229,display_name
100.00,Milano Politecnico,Politecnico di Milano,Fondazione Politecnico di Milano,https://openalex.org/I4210119056,display_name
100.00,Milano Bocconi,Università Commerciale Luigi Bocconi di Milano,Bocconi University,https://openalex.org/I71209653,display_name
86.25,Milano Cattolica,"Università Cattolica del ""Sacro Cuore""",University of Milan,https://openalex.org/I189158943,display_name
100.00,Milano IULM,Libera Università di Lingue e Comunicazione (IULM),IULM University,https://openalex.org/I200420086,display_name
82.73,Milano ISEF,Istituto Superiore di Educazione Fisica di Milano,University of Milano-Bicocca,https://openalex.org/I66752286,display_name
76.60,Milano ISEF Lombardia,Istituto Superiore di Educazione Fisica della Lombardia,Ministry of Economy and Finance,https://openalex.org/I2802886945,alternative
82.76,Milano San Raffaele,Libera Università Vita-Salute San Raffaele di Milano,San Raffaele University of Rome,https://openalex.org/I292310028,display_name
100.00,Milano Bicocca,Università degli Studi di Milano - Bicocca,"Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca",https://openalex.org/I4210140564,display_name
100.00,Rozzano (MI) Humanitas University,Humanitas University,Humanitas University,https://openalex.org/I1339471597,display_name
100.00,Bergamo,Università degli Studi di Bergamo,University of Bergamo,https://openalex.org/I11039511,display_name
100.00,Brescia,Università degli Studi di Brescia,University of Brescia,https://openalex.org/I79940851,display_name
100.00,Pavia,Università degli Studi di Pavia,University of Pavia,https://openalex.org/I25217355,display_name
100.00,Pavia,Università degli Studi di Pavia,"Istituto Nazionale di Fisica Nucleare, Sezione di Pavia",https://openalex.org/I4210109533,display_name
100.00,Pavia IUSS,Istituto universitario di studi superiori di Pavia,University School for Advanced Studies - IUSS Pavia,https://openalex.org/I2800920820,alternative
100.00,Bolzano,Libera Università di Bolzano,Ospedale di Bolzano,https://openalex.org/I4210091033,display_name
100.00,Trento,Università degli Studi di Trento,University of Trento,https://openalex.org/I193223587,display_name
100.00,Verona,Università degli Studi di Verona,University of Verona,https://openalex.org/I119439378,display_name
77.78,Venezia Cà Foscari,Università degli studi Ca' Foscari di Venezia,Ca' Foscari University of Venice,https://openalex.org/I149461666,display_name
100.00,Venezia Iuav,Università Iuav di Venezia,Università Iuav di Venezia,https://openalex.org/I11986463,display_name
100.00,Padova,Università degli Studi di Padova,"Istituto Nazionale di Fisica Nucleare, Sezione di Padova",https://openalex.org/I4210105455,display_name
100.00,Udine,Università degli Studi di Udine,University of Udine,https://openalex.org/I129043915,display_name
100.00,Trieste,Università degli Studi di Trieste,University of Trieste,https://openalex.org/I142444530,display_name
82.63,Trieste SISSA,Scuola Internazionale Superiore di Studi Avanzati di Trieste,Trieste Astronomical Observatory,https://openalex.org/I2801536946,display_name
100.00,Parma,Università degli Studi di Parma,University of Parma,https://openalex.org/I124601658,display_name
95.24,Modena e Reggio Emilia,Università degli Studi di Modena e Reggio Emilia,University of Modena and Reggio Emilia,https://openalex.org/I122346577,display_name
100.00,Bologna,Università degli Studi di Bologna,University of Bologna,https://openalex.org/I9360294,display_name
84.19,Bologna ISEF,Istituto Superiore di Educazione Fisica di Bologna,Bologna Research Area,https://openalex.org/I4210133988,display_name
100.00,Ferrara,Università degli Studi di Ferrara,University of Ferrara,https://openalex.org/I201324441,display_name
100.00,Urbino Carlo Bo,"Università degli studi ""Carlo Bo"" di Urbino",University of Urbino,https://openalex.org/I190397597,display_name
100.00,Marche,Università Politecnica delle Marche - Ancona,Marche Polytechnic University,https://openalex.org/I122534668,display_name
100.00,Macerata,Università degli Studi di Macerata,University of Macerata,https://openalex.org/I55133342,display_name
100.00,Camerino,Università degli Studi di Camerino,Università di Camerino,https://openalex.org/I112859197,display_name
90.00,Lucca - IMT,Scuola IMT Alti Studi di Lucca,IMT School for Advanced Studies Lucca,https://openalex.org/I127077003,display_name
100.00,Firenze,Università degli Studi di Firenze,"Istituto Nazionale di Fisica Nucleare, Sezione di Firenze",https://openalex.org/I4210133295,display_name
100.00,Firenze ISEF,Istituto Superiore di Educazione Fisica di Firenze,Università degli Studi di Firenze,https://openalex.org/I45084792,alternative
79.17,Firenze - Istituto Italiano di Scienze Umane,Istituto Italiano di Scienze Umane di Firenze,Fondazione IRCCS Istituto Nazionale dei Tumori,https://openalex.org/I4210156707,display_name
77.78,Firenze IUL,"Università telematica ""Italian University line"" di Firenze",Azienda Sanitaria di Firenze,https://openalex.org/I4210102885,display_name
100.00,Pisa,Università degli Studi di Pisa,University of Pisa,https://openalex.org/I108290504,display_name
79.97,Pisa Normale,Scuola Normale Superiore di Pisa,Sapienza University of Rome,https://openalex.org/I861853513,display_name
100.00,Siena,Università degli Studi di Siena,University of Siena,https://openalex.org/I102064193,display_name
100.00,Siena,Università degli Studi di Siena,University for Foreigners of Siena,https://openalex.org/I37745579,display_name
75.00,Siena Stranieri,Università per stranieri di Siena,Università per stranieri di Perugia,https://openalex.org/I9568059,alternative
100.00,Perugia,Università degli Studi di Perugia,University of Perugia,https://openalex.org/I27483092,display_name
83.33,Perugia ISEF,Istituto Superiore di Educazione Fisica di Perugia,INFN Perugia,https://openalex.org/I4210163778,alternative
77.72,Perugia Stranieri,Università per stranieri di Perugia,Puglia Salute,https://openalex.org/I4210099368,display_name
100.00,Tuscia,Università degli Studi della Tuscia,Università degli Studi della Tuscia,https://openalex.org/I138938424,display_name
82.50,Roma La Sapienza,Università degli Studi di Roma La Sapienza,Roma Tre University,https://openalex.org/I119003972,display_name
100.00,Roma Tor Vergata,Università degli Studi di Roma Tor Vergata,"Istituto Nazionale di Fisica Nucleare, Roma Tor Vergata",https://openalex.org/I4210113126,display_name
100.00,Roma LUMSA,Libera Università Maria SS.Assunta - (LUMSA) di Roma,Università LUMSA,https://openalex.org/I128649747,alternative
81.67,Roma LUISS,Libera Università internazionale degli studi sociali Guido Carli - (LUISS) di Roma,University of Rome II,https://openalex.org/I116067653,alternative
94.12,Roma Foro Italico,"Università degli studi di Roma ""Foro Italico""",Foro Italico University of Rome,https://openalex.org/I210167222,display_name
100.00,Roma Tre,Università degli Studi Roma Tre,"Istituto Nazionale di Fisica Nucleare, Sezione di Roma Tre",https://openalex.org/I4210090266,display_name
81.22,Roma Tre,Università degli Studi Roma Tre,Rome International School,https://openalex.org/I3213158566,display_name
82.66,Roma Biomedico,Università Campus Bio-medico di Roma,Università Campus Bio-Medico,https://openalex.org/I155125353,display_name
76.15,Roma UNINT,Università degli Studi Internazionali di Roma – UNINT,Promau Engineering (Italy),https://openalex.org/I4210132105,display_name
100.00,Roma Marconi,Università telematica Guglielmo Marconi di Roma,Marconi University,https://openalex.org/I2801039369,display_name
76.19,Roma UNITELMA,Università telematica Unitelma Sapienza di Roma,Unitelma Sapienza University,https://openalex.org/I4210130905,display_name
88.00,Roma Europea,Università Europea di Roma,European University of Rome,https://openalex.org/I4210099865,display_name
100.00,Roma UNINETTUNO,Università telematica internazionale UNINETTUNO di Roma,UniNettuno University,https://openalex.org/I4210155399,display_name
100.00,Roma  Mercatorum,Universitas Mercatorum di Roma,Mercatorum University,https://openalex.org/I4210132817,display_name
76.23,Roma UNICUSANO,Università telematica Niccolò Cusano di Roma,Ratio Consulta,https://openalex.org/I4210133323,display_name
82.76,Roma San Raffaele,"Università telematica ""San Raffaele"" di Roma - già ""UNITEL""",Vita-Salute San Raffaele University,https://openalex.org/I154387261,display_name
100.00,Roma - Link Campus,Link Campus University di Roma,Link Campus University,https://openalex.org/I42775652,display_name
84.85,Roma Saint Camillus,Saint Camillus International University of Health,Saint Camillus International University of Health and Medical Sciences,https://openalex.org/I4210095444,display_name
100.00,Cassino,Università degli Studi di Cassino e del Lazio Meridionale,Università degli studi di Cassino e del Lazio Meridionale,https://openalex.org/I186995768,display_name
100.00,Sannio,Università degli Studi del Sannio,University of Sannio,https://openalex.org/I16337185,display_name
100.00,Benevento - Giustino Fortunato,"Università telematica ""Giustino Fortunato"" di Benevento",Giustino Fortunato University,https://openalex.org/I4210165932,display_name
90.44,Napoli Federico II,Università degli studi di Napoli Federico II,University of Naples Federico II,https://openalex.org/I71267560,display_name
88.24,Napoli Parthenope,Università degli Studi di Napoli - Parthenope,Parthenope University of Naples,https://openalex.org/I183638586,display_name
84.21,Napoli L'Orientale,Università degli studi L'Orientale di Napoli,University of Naples - L'Orientale,https://openalex.org/I127927624,display_name
81.82,Napoli ISEF,Istituto Superiore di Educazione Fisica di Napoli,INFN Napoli,https://openalex.org/I4210108560,alternative
80.00,Napoli II,Seconda Università degli Studi di Napoli,Policlinico di Napoli,https://openalex.org/I4210117450,alternative
100.00,Napoli Pegaso,"Universita telematica ""Pegaso"" di Napoli",Pegaso University,https://openalex.org/I4210125310,display_name
100.00,Salerno,Università degli Studi di Salerno,University of Salerno,https://openalex.org/I131729948,display_name
100.00,L'Aquila,Università degli studi di L'Aquila,University of L'Aquila,https://openalex.org/I26415053,display_name
100.00,Teramo,Università degli Studi di Teramo,University of Teramo,https://openalex.org/I124326101,display_name
93.28,Chieti e Pescara,Università degli studi Gabriele D'Annunzio di Chieti e Pescara,University of Chieti-Pescara,https://openalex.org/I39387349,display_name
100.00,Molise,Università degli Studi del Molise,University of Molise,https://openalex.org/I129627893,display_name
100.00,Foggia,Università degli Studi di Foggia,University of Foggia,https://openalex.org/I106296451,display_name
100.00,Bari,Università degli Studi di Bari,University of Bari Aldo Moro,https://openalex.org/I5561750,display_name
87.50,Bari Politecnico,Politecnico di Bari,Polytechnic University of Bari,https://openalex.org/I68618741,display_name
100.00,Salento,Università del Salento,University of Salento,https://openalex.org/I142910587,display_name
100.00,Basilicata,Università degli studi della Basilicata,University of Basilicata,https://openalex.org/I20272500,display_name
100.00,Calabria,Università della Calabria,University of Calabria,https://openalex.org/I45204951,display_name
100.00,Calabria,Università della Calabria,University of Reggio Calabria,https://openalex.org/I59725666,display_name
100.00,Catanzaro,Università degli studi di Catanzaro - Magna Grecia,Accademia di Belle Arti di Catanzaro,https://openalex.org/I4210133179,display_name
100.00,Reggio Calabria,Università degli studi Mediterranea di Reggio Calabria,Accademia di Belle Arti di Reggio Calabria,https://openalex.org/I4210116360,display_name
100.00,Palermo,Università degli Studi di Palermo,University of Palermo,https://openalex.org/I900890020,display_name
100.00,Messina,Università degli Studi di Messina,University of Messina,https://openalex.org/I112862951,display_name
100.00,Enna - KORE,"Libera Università della Sicilia Centrale ""KORE"" di Enna",Università degli Studi di Enna Kore,https://openalex.org/I246010334,display_name
100.00,Catania,Università degli Studi di Catania,University of Catania,https://openalex.org/I39063666,display_name
100.00,Sassari,Università degli Studi di Sassari,University of Sassari,https://openalex.org/I159650629,display_name
100.00,Cagliari,Università degli Studi di Cagliari,University of Cagliari,https://openalex.org/I172446870,display_name
